Gazette Number,Date,Description,Link
2480/07,2026-03-16,"Ministry of Labour - Industrial Dispute between 
H.M. Ajith Bandara Harasgama and Mahaweli Authority of S/L
S.T. Liyanagamage and Mahaweli , Authority of Sri Lanka",https://documents.gov.lk/view/egz/2026/3/2480-07_E.pdf
2480/08,2026-03-16,Election Commission - Filling the Vacancy in the Office of Member of the Polgahawela Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/3/2480-08_E.pdf
2480/09,2026-03-16,"Ministry of Labour - Industrial Dispute between M.R.M.P.B. Ratnayake and Mahaweli Authority of S/L 
Group Including Mr. R.T.M.S. Pushpakumara and Central Cultural Fund",https://documents.gov.lk/view/egz/2026/3/2480-09_E.pdf
2480/10,2026-03-16,"Land Aquation - Homagama, Homagama D/S/D, Colombo District
Correction Paper, Bentota D/S/D, 
Amendment , Kandy FourGravets and Gangawatakorale D/S/D,
Ransegoda,Muletiyana D/S/D, Matara District",https://documents.gov.lk/view/egz/2026/3/2480-10_E.pdf
,2026-03-13,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-03-13.html
2479/54,2026-03-12,"Central Bank of Sri Lanka - Central Bank of Sri Lanka Act, No. 16 of 2023 Rules on the Collection of Statistics and Information",https://documents.gov.lk/view/egz/2026/3/2479-54_E.pdf
2479/55,2026-03-12,Department of Trade and Investment Policy - Customs Ordinance ( Chapter 235) Order Under Section 10,https://documents.gov.lk/view/egz/2026/3/2479-55_E.pdf
2479/56,2026-03-12,Governor's Secretariat - Northern Province,https://documents.gov.lk/view/egz/2026/3/2479-56_E.pdf
2479/57,2026-03-12,Department of Local Government - Elected New Chairman 01 Ninthavur Pradeshiya Sabha in Ampara District,https://documents.gov.lk/view/egz/2026/3/2479-57_E.pdf
2479/48,2026-03-11,"Land Title Settlement Dept - Theppanawa Pahalagama , Kuruvita D/S/D, Ratnapura District ( 25/0455)",https://documents.gov.lk/view/egz/2026/3/2479-48_E.pdf
2479/49,2026-03-11,"Land Title Settlement Dept - Kawdupitiya, Doluwa D/S/D, Kandy District ( 26/5514018)",https://documents.gov.lk/view/egz/2026/3/2479-49_E.pdf
2479/50,2026-03-11,"Land Title Settlement Dept - Egodauyana, Moratuwa D/S/D, Colombo District (26/55004)",https://documents.gov.lk/view/egz/2026/3/2479-50_E.pdf
2479/51,2026-03-11,"Land Title Settlement Dept - Nawakkulama, kekirawa D/S/D, Anuradhapura District ( 26/1200020)",https://documents.gov.lk/view/egz/2026/3/2479-51_E.pdf
2479/52,2026-03-11,Ministry Of Energy - Renewable Energy Resource Development plan 2025-2030,https://documents.gov.lk/view/egz/2026/3/2479-52_E.pdf
2479/53,2026-03-11,Elections Commission,https://documents.gov.lk/view/egz/2026/3/2479-53_E.pdf
2479/36,2026-03-10,Ministry of Power and Energy - Preliminary Transfer Plan of Sri Lanka Electricity Industry,https://documents.gov.lk/view/egz/2026/3/2479-36_E.pdf
2479/37,2026-03-10,Election Commission - Filling the Vacancy in the Office of Member of the Velanai Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/3/2479-37_E.pdf
2479/39,2026-03-10,"Land Title Settlement Dept - Kadawela, Galle Four Divulapitiya D/S/D, Gampaha District ( 25/55094)",https://documents.gov.lk/view/egz/2026/3/2479-39_E.pdf
2479/40,2026-03-10,"Land Title Settlement Dept. - Kivuleyaya, Siyambalanduwa D/S Division, Monaragala District - (25/0527)",https://documents.gov.lk/view/egz/2026/3/2479-40_E.pdf
2479/41,2026-03-10,"Land Title Settlement Dept. - Weniwelkola, Homagama D/S Division, Colombo District - (26/55001)",https://documents.gov.lk/view/egz/2026/3/2479-41_E.pdf
2479/43,2026-03-10,"Land Title Settlement Dept. - Kohuwala, Dehiwala D/S Division, Colombo District - (7924)",https://documents.gov.lk/view/egz/2026/3/2479-43_E.pdf
2479/44,2026-03-10,"Land Title Settlement Dept - Homagama, Homagama D/S/D, Colombo District (25/55074)",https://documents.gov.lk/view/egz/2026/3/2479-44_E.pdf
2479/45,2026-03-10,"Land Title Settlement Dept - Kammalpitiya Radawadunna, Meerigama D/S/D, Gampaha District ( 26/1200021)",https://documents.gov.lk/view/egz/2026/3/2479-45_E.pdf
2479/46,2026-03-10,"Land Title Settlement Dept - Eachankulam, Vavuniya D/S/D, Vavuniya District ( 26/20007)",https://documents.gov.lk/view/egz/2026/3/2479-46_E.pdf
2479/47,2026-03-10,Election Commission - Filling the Vacancy in the Office of Member of the Yatinuwara Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/3/2479-47_E.pdf
2479/01,2026-03-09,Sri Lanka Customs - Rates of Exchange with effect from 09.03.2026 to 16.03.2026,https://documents.gov.lk/view/egz/2026/3/2479-01_E.pdf
2479/02,2026-03-09,"Land Title Settlement Dept - Wattegama, Kurunegala D/S/D, Kurunegala District ( 26/5514008)",https://documents.gov.lk/view/egz/2026/3/2479-02_E.pdf
2479/03,2026-03-09,"Land Title Settlement Dept - Wanathamulla, Thimbirigasyaya D/S/D, Colombo District ( 26/1200032)",https://documents.gov.lk/view/egz/2026/3/2479-03_E.pdf
2479/04,2026-03-09,"Land Title Settlement Dept- Akaragana South, Kurunegala D/S/D, Kurunegala District ( 26/1200026)",https://documents.gov.lk/view/egz/2026/3/2479-04_E.pdf
2479/05,2026-03-09,"Land Title Settlement Dept- Werunkulama, Galnewa D/S/D, Anuradhapura District ( 26/11200010)",https://documents.gov.lk/view/egz/2026/3/2479-05_E.pdf
2479/06,2026-03-09,"Land Title Settlement - Jayanthi Kolani, Thamankaduwa D/S/D, Polonnaruwa District ( 26/1200030)",https://documents.gov.lk/view/egz/2026/3/2479-06_E.pdf
2479/07,2026-03-09,"Land Title Settlement Dept - Neligama, Meerigama D/S/D, Gampaha District ( 7935)",https://documents.gov.lk/view/egz/2026/3/2479-07_E.pdf
2479/08,2026-03-09,"Land Title Settlement Dept - Nallapambukulama, Mihinthale D/S/D, Anuradhapura District ( 25/0127)",https://documents.gov.lk/view/egz/2026/3/2479-08_E.pdf
2479/09,2026-03-09,"Land Title Settlement Dept - Thammanna Elawaka, Medawachchiya D/S/D, Anuradhapura District ( 26/1200017)",https://documents.gov.lk/view/egz/2026/3/2479-09_E.pdf
2479/10,2026-03-09,"Land Title Settlement Dept - Aluthgama, Horowpathana D/S/D, Anuradhapura District ( 26/1200015)",https://documents.gov.lk/view/egz/2026/3/2479-10_E.pdf
2479/11,2026-03-09,"Land Title Settlement Dept - Wegodapola, Galewela D/S/D, Matale District ( 25/0469)",https://documents.gov.lk/view/egz/2026/3/2479-11_E.pdf
2479/12,2026-03-09,"Land Title Settlement Dept- Ketakumbura, Udunuwara D/S/D, Kandy District ( 26/55002)",https://documents.gov.lk/view/egz/2026/3/2479-12_E.pdf
2479/13,2026-03-09,"Land Title Settlement Dept- Homagama , Homagama D/S/D, Colombo District ( 25/0529)",https://documents.gov.lk/view/egz/2026/3/2479-13_E.pdf
2479/14,2026-03-09,"Land Title Settlement Dept- Watupitiwala, Aththanagalla D/S/D, Gampaha District ( 25/5514267)",https://documents.gov.lk/view/egz/2026/3/2479-14_E.pdf
2479/15,2026-03-09,"Land Title Settlement Dept - Aluthgama, Bogamuwa , Gampaha D/S/D ,Gampaha District (25/5514272)",https://documents.gov.lk/view/egz/2026/3/2479-15_E.pdf
2479/16,2026-03-09,"Land Title Settlement Dept- Suwarapola, Kesbewa D/S/D, Colombo District ( 25/5514255)",https://documents.gov.lk/view/egz/2026/3/2479-16_E.pdf
2479/17,2026-03-09,"Land Title Settlement Dept - Diyawala, Dompe D/S/D, Gampaha District ( 25/5514275)",https://documents.gov.lk/view/egz/2026/3/2479-17_E.pdf
2479/18,2026-03-09,"Land Title Settlement Dept  - Homagama, Homagama D/S/D, Colombo District (26/5514010)",https://documents.gov.lk/view/egz/2026/3/2479-18_E.pdf
2479/19,2026-03-09,"Land Title Settlement Dept - Naththandiya, Naththandiya D/S/D, Puttalam District ( 26/1200013)",https://documents.gov.lk/view/egz/2026/3/2479-19_E.pdf
2479/20,2026-03-09,"Land Title Settlement Dept - Kudakanda, Fourkudakanda D/S/D, Rathnapura District ( 7925)",https://documents.gov.lk/view/egz/2026/3/2479-20_E.pdf
2479/21,2026-03-09,Provincial Public Service Commission - Northern Province Delegation of Powers by Hon. Governor,https://documents.gov.lk/view/egz/2026/3/2479-21_E.pdf
2479/22,2026-03-09,Urban Development Authority - Approval of the Development Plan for Panadura Urban Council and Panadura Pradeshiys Sabha Area,https://documents.gov.lk/view/egz/2026/3/2479-22_E.pdf
2479/23,2026-03-09,Urban Development Authority - Approval of the Greater Development Plan,https://documents.gov.lk/view/egz/2026/3/2479-23_E.pdf
2479/24,2026-03-09,"Land Aquation - Egodahawatta, Yatawatta D/S/D, Matale District 
Ranamuregama, Laggala D/S/D, Matale District.",https://documents.gov.lk/view/egz/2026/3/2479-24_E.pdf
2479/25,2026-03-09,"Land Title Settlement Dept- Rathmalana, Rathmalana D/S/D, Colombo District ( 25/0549)",https://documents.gov.lk/view/egz/2026/3/2479-25_E.pdf
2479/26,2026-03-09,"Land Tittle Settlement Dept - Galatabendiyawa, Nawagaththegama D/S/D, Puttalam District ( 26/1200036)",https://documents.gov.lk/view/egz/2026/3/2479-26_E.pdf
2479/27,2026-03-09,Ministry of Energy - Order under Section 66 Revise the Fuel Price,https://documents.gov.lk/view/egz/2026/3/2479-27_E.pdf
2479/28,2026-03-09,"Land Title Settlement Dept - Thambala, Lankapura D/S/D, Polonnaruwa District ( 26/1200034)",https://documents.gov.lk/view/egz/2026/3/2479-28_E.pdf
2479/29,2026-03-09,"Land Title Settlement Dept - Nambadaluwa, Aththanagalla D/S/D, Gampaha District (7931)",https://documents.gov.lk/view/egz/2026/3/2479-29_E.pdf
2479/31,2026-03-09,"Land Aquation- Medagoda,Ruwanwella D/S/D, Kegalle District
Nikawewa, Nuwaragampalatha Central D/S/D, Anuradhapura District",https://documents.gov.lk/view/egz/2026/3/2479-31_E.pdf
2479/32,2026-03-09,"Land Aquation - Mahasiyambalagaswewa , Nuwaragampalatha Central D/S/D, Anuradhapura District 
Kokebe, Helambagaswewa D/S/D, Anuradhapura District",https://documents.gov.lk/view/egz/2026/3/2479-32_E.pdf
2479/34,2026-03-09,"Ministry of Agriculture, Live stock Land and irrigation - Kotawella, Rambukkana D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/3/2479-34_E.pdf
2479/35,2026-03-09,"Land Title Settlement Dept - Bogamuwa, Mallawapitiya D/S/D, Kurunegala District ( 25/14-204-00474)",https://documents.gov.lk/view/egz/2026/3/2479-35_E.pdf
2470/44,2026-03-08,Land Title Settlement Dept,https://documents.gov.lk/view/egz/2026/3/2470-44_E.pdf
2478/49,2026-03-06,Mediation Board Commission - Calling for Nomination for the Appointment of Mediators - Nuwara Eliya District,https://documents.gov.lk/view/egz/2026/3/2478-49_E.pdf
2478/50,2026-03-06,Mediation Board Commission - Calling for Nomination for the Appointment of Mediators - Kandy District,https://documents.gov.lk/view/egz/2026/3/2478-50_E.pdf
2478/51,2026-03-06,Mediation Board Commission,https://documents.gov.lk/view/egz/2026/3/2478-51_E.pdf
2478/52,2026-03-06,"Land Aquation - Diganahena, Akuressa D/S/D, Matara District 
Kalugalamana, Kothmale West D/S/D, Nuwara Eliya District 
Wilagama, Akuressa D/S/D, Matara District",https://documents.gov.lk/view/egz/2026/3/2478-52_E.pdf
2478/53,2026-03-06,"Land Aquation - Weralupa Village , Ratnapura D/S/D, Ratnapura District 
Walapala, Panaduwra D/S/D, Kalutara District
Molligoda, Panaduwra D/S/D, Kalutara District",https://documents.gov.lk/view/egz/2026/3/2478-53_E.pdf
2478/54,2026-03-06,"Land  Aquation - Kalugamuwa, Polgahawela D/S/D, Kurunegala District
Kotawella and Ihala walpola, rambukkana D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/3/2478-54_E.pdf
2478/55,2026-03-06,"Land Aquation - Kalugamuwa, Polgahawela D/S/D, Kurunegala District
Ihala walpola, Rambukkana D/S/D, Kurunegala District
kotawalla, Rambukkana D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/3/2478-55_E.pdf
,2026-03-06,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-03-06.html
2478/26,2026-03-05,Election Commission - Filling the Vacancy in the Office of Member of the Nuwaragampalatha Central Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/3/2478-26_E.pdf
2478/27,2026-03-05,"Land Title Settlement Dept - Ihala Eravula, Dambulla D/S/D, Matale District ( 26/1200022)",https://documents.gov.lk/view/egz/2026/3/2478-27_E.pdf
2478/28,2026-03-05,"Land Title Settlement Dept - Millathe, Dompe D/S/D,Gampaha District ( 26/5514006)",https://documents.gov.lk/view/egz/2026/3/2478-28_E.pdf
2478/29,2026-03-05,"Land Title Settlment Dept - Pahala Makadura, Pannala D/S/D, Kurunegla District ( 26/5514024)",https://documents.gov.lk/view/egz/2026/3/2478-29_E.pdf
2478/30,2026-03-05,"Land Title Settlement Dept - Walpola, Katana D/S/D, Gampaha District ( 25/5514263)",https://documents.gov.lk/view/egz/2026/3/2478-30_E.pdf
2478/31,2026-03-05,"Land Title Settlement Dept - Senakudirippuwa, Puttalama D/S/D, Puttalama District ( 25/5514258)",https://documents.gov.lk/view/egz/2026/3/2478-31_E.pdf
2478/32,2026-03-05,"Land Title Settlement Dept- Anuradhapura Town, Nuwaragampalatha East D/S/D, Anuradhapura District ( 25/5514286)",https://documents.gov.lk/view/egz/2026/3/2478-32_E.pdf
2478/33,2026-03-05,"Land Title Settlement Dept-  Koswatta, Katana D/S/D, Gampaha District ( 25/5514256)",https://documents.gov.lk/view/egz/2026/3/2478-33_E.pdf
2478/34,2026-03-05,"Land Title Settlement Dept - Sadalankawa, Pannala D/S/D, Kurunegala District ( 25/5514238)",https://documents.gov.lk/view/egz/2026/3/2478-34_E.pdf
2478/35,2026-03-05,"Land Title Settlement Dept - Gamsabha Halmillewa, Palagala D/S/D, Anuradhapura District ( 25/14-204-00112)",https://documents.gov.lk/view/egz/2026/3/2478-35_E.pdf
2478/36,2026-03-05,"Land Title Settlement Dept - Kudaheella, Beliatta D/S/D, Hambantota District ( 25/14-204-00258)",https://documents.gov.lk/view/egz/2026/3/2478-36_E.pdf
2478/37,2026-03-05,"Land Title Settlement Dept - Gangodagama, Hakmana D/S/D, Matara District ( 25/14-204-00313)",https://documents.gov.lk/view/egz/2026/3/2478-37_E.pdf
2478/39,2026-03-05,"Land Title Settlement Dept - Siyabalagaswewa, Wariyapola D/S/D, Kurunegala District ( 25/14-204-00053)",https://documents.gov.lk/view/egz/2026/3/2478-39_E.pdf
2478/40,2026-03-05,"Land Title Settlement Dept- Depanama, Maharagama D/S/D, Colombo District ( 25/14-204-00317)",https://documents.gov.lk/view/egz/2026/3/2478-40_E.pdf
2478/41,2026-03-05,"Ministry of Energy - Sri Lanka Electricity Act, No.36 of 2024.Order under subsection (2) of section 1.",https://documents.gov.lk/view/egz/2026/3/2478-41_E.pdf
2478/43,2026-03-05,"Land Acquisition - Udubaddawa, Ihalagama , Udubaddawa D/S/D, Kurunegla District
Walpitagama, Udubadduwa D/S/D, Kurunegala District
Meddepola , Pannala D/S/D",https://documents.gov.lk/view/egz/2026/3/2478-43_E.pdf
2478/44,2026-03-05,"Land Acquisition - Diyagama, Kegalle D/S/D, Kegalle District",https://documents.gov.lk/view/egz/2026/3/2478-44_E.pdf
2478/45,2026-03-05,"Land Aquation - Siyambalagasruppa, Udubaddawa D/S/D, Kurunegla District
Correction Paper ,Kottawa, Yakkala,ulla D/S/D, Galle District
Correction Paper, Thellambura
Amendment , KAndy Four Gravets and Gangawatakorale D/S/D,",https://documents.gov.lk/view/egz/2026/3/2478-45_E.pdf
2478/46,2026-03-05,"Land Title settlement Dept - Manankundu, Puttalama D/S/D, Puttalama District ( 25/5514291)",https://documents.gov.lk/view/egz/2026/3/2478-46_E.pdf
2478/47,2026-03-05,"Land Title Settlement Dept -  Senaippulavu, Vavuniya North D/S/D, Vavuniya District ( 26/1200025)",https://documents.gov.lk/view/egz/2026/3/2478-47_E.pdf
2478/48,2026-03-05,"Land Title Settlement Dept- Bendiwewa, Thamankaduwa D/S/D, Polonnaruwa District ( 26/1200028)",https://documents.gov.lk/view/egz/2026/3/2478-48_E.pdf
2478/16,2026-03-04,Presidential Secretariat - Appointed Mr.T. R.W.S. Dhanapala as the Secretary to the Ministry of Digital Economy.,https://documents.gov.lk/view/egz/2026/3/2478-16_E.pdf
2478/17,2026-03-04,Governor's Secretarial  - Northern Province - An inquiry to be Conducted under Section 184 of the urban Councils Ordinance,https://documents.gov.lk/view/egz/2026/3/2478-17_E.pdf
2478/18,2026-03-04,"Land Aquations - Sooriyapaluwa, MAhara D/S/D, Gampaha DIstrict
Makilangamuwa, Gampaha D/S/D, Gampaha District
Pahalagama,  Gampaha D/S/D, Gampaha District",https://documents.gov.lk/view/egz/2026/3/2478-18_E.pdf
2478/19,2026-03-04,"Land Acquisition - Parabawila, Polhgahawela D/S/D, Kurunegala District
katawella, Rambukkana D/S/D, Kegalle District
Polwattegedara, Polgahawela D/S/D, Kurunegala District",https://documents.gov.lk/view/egz/2026/3/2478-19_E.pdf
2478/20,2026-03-04,"Land Title Settlement Dept - Katukurruduwatta, Ratmalana D/S/D, Colombo District ( 7936)",https://documents.gov.lk/view/egz/2026/3/2478-20_E.pdf
2478/21,2026-03-04,"Land Acquisition - Weerakoongama, Haldummulla D/S/D, Badulla District",https://documents.gov.lk/view/egz/2026/3/2478-21_E.pdf
2478/22,2026-03-04,"Land Title Settlement Dept - Thalakiriyagama, Galewela D/S/D, Matale DIstrict ( 25/0450)",https://documents.gov.lk/view/egz/2026/3/2478-22_E.pdf
2478/23,2026-03-04,Elections Commission - Filling of a vacancy in the office of Member of the Ambalangoda Pradeshiya Sabha.,https://documents.gov.lk/view/egz/2026/3/2478-23_E.pdf
2478/24,2026-03-04,"Public Utilities Commission of Sri Lanka - Imposing Annual Levy under Sub-Section (1) of the Section 46 of the Sri Lanka Electricity Act, No. 20 of 2009",https://documents.gov.lk/view/egz/2026/3/2478-24_E.pdf
2478/25,2026-03-04,Ministry of Defence - Sri Lanka Armed Services Long Service medal and Clasp,https://documents.gov.lk/view/egz/2026/3/2478-25_E.pdf
2478/03,2026-03-03,Department of Trade and Investment Policy - Revenue Protection Order No.01/2026,https://documents.gov.lk/view/egz/2026/3/2478-03_E.pdf
2478/04,2026-03-03,Department of Trade and Investment Policy - Sri Lanka Export Development Act No 40 of 1979 - Cess Tax,https://documents.gov.lk/view/egz/2026/3/2478-04_E.pdf
2478/05,2026-03-03,Department of Fiscal Policy - Ports and Airports Development Leavy Act No. 18 of 2011 Order Under Section 03,https://documents.gov.lk/view/egz/2026/3/2478-05_E.pdf
2478/06,2026-03-03,Department of Fiscal Policy - Order made Under Section 03 of the Excise ( Special Provisions) Act No 13 of 1989,https://documents.gov.lk/view/egz/2026/3/2478-06_E.pdf
2478/07,2026-03-03,Department of Fiscal Policy - Order made Under Section 2 A of the Value added Tax No 14 of 2002,https://documents.gov.lk/view/egz/2026/3/2478-07_E.pdf
2478/08,2026-03-03,Elections Commission - Under Section 10 A (1) ( a) Chavakachcheri Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/3/2478-08_E.pdf
2478/09,2026-03-03,Parliament of Sri Lanka - Declaration made by the Hon. Speaker Under Section 09 of the Parliamentary Staffs Act  ( Chapter 384),https://documents.gov.lk/view/egz/2026/3/2478-09_E.pdf
2478/10,2026-03-03,"Land Title Settlement Dept - Nikapothagama, Kurunegala D/S/D, Kurunegala District ( 25/0517)",https://documents.gov.lk/view/egz/2026/3/2478-10_E.pdf
2478/11,2026-03-03,"Land Title Settlement Dept - Malhewa, Kathmale D/S/D, Nuwara Eliya District (25/14-204-000127)",https://documents.gov.lk/view/egz/2026/3/2478-11_E.pdf
2478/12,2026-03-03,"Land Title Settlement Dept - Kadawadduwa, Devinuwara D/S/D, Matara District ( 234/14-4-00055)",https://documents.gov.lk/view/egz/2026/3/2478-12_E.pdf
2478/13,2026-03-03,"Land Title Settlement Dept - Godigamuwa, Ratnapura D/S/D, Ratnapura District ( 25/14-204-00237)",https://documents.gov.lk/view/egz/2026/3/2478-13_E.pdf
2478/14,2026-03-03,"Land Title Settlement Dept - Karawdeniya, Ruwanwella D/S/D, Kegalle District ( 24/14-4-00006)",https://documents.gov.lk/view/egz/2026/3/2478-14_E.pdf
2478/15,2026-03-03,"Land Title Settlement Dept - Palkumbura. Udunuwara D/S/D, Kandy District ( 25/0447)",https://documents.gov.lk/view/egz/2026/3/2478-15_E.pdf
2478/01,2026-03-02,Sri Lanka Customs - Rates of Exchange with effect from 02.03.2026 to 08.03.2026,https://documents.gov.lk/view/egz/2026/3/2478-01_E.pdf
2477/45,2026-02-28,Ministry of Energy - Order under Section 66 Revise the Fuel Price,https://documents.gov.lk/view/egz/2026/2/2477-45_E.pdf
2477/46,2026-02-28,President Secretarial - Emergency Gazette of Public Security and the Protection of Public Order and the maintenance of supplies and services essential to the life of the community,https://documents.gov.lk/view/egz/2026/2/2477-46_E.pdf
2477/47,2026-02-28,"President Secretarial - Essential Public Services Act, No. 61 of 1979",https://documents.gov.lk/view/egz/2026/2/2477-47_E.pdf
2468/44,2026-02-27,"Land Title Settlement Dept -Laksauyana, Thamankaduwa D/S/D, Polonnaruwa District (25/14-204-00131)",https://documents.gov.lk/view/egz/2026/2/2468-44_E.pdf
2477/40,2026-02-27,Election Commission - Order under Article 98 (8),https://documents.gov.lk/view/egz/2026/2/2477-40_E.pdf
2477/41,2026-02-27,Presidential Secretariat - The Public Security Ordinance Call out with effect from 27.02.2026 All the Members of the Armed Forces,https://documents.gov.lk/view/egz/2026/2/2477-41_E.pdf
2477/42,2026-02-27,Election Commission - Filling the Vacancy in the Office of Member of the Manthai East Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/2/2477-42_E.pdf
2477/43,2026-02-27,"Ministry of Public Security and Parliament Affairs - Drug Dependent Person (Treatment and Rehabilitation) Act, No. 54 of 2007 order under Section 2",https://documents.gov.lk/view/egz/2026/2/2477-43_E.pdf
2477/44,2026-02-27,National Physical Planning Department - Declaring the Updated Anuradhapura Sacred Area Development Plan,https://documents.gov.lk/view/egz/2026/2/2477-44_E.pdf
,2026-02-27,Ordinary Gazette,https://documents.gov.lk/view/gz/2026-02-27.html
2477/36,2026-02-26,"Land Acquisition - Medapitiya, Doluwa D/S/D, Kandy District. Amendment, Mirigama",https://documents.gov.lk/view/egz/2026/2/2477-36_E.pdf
2477/37,2026-02-26,"Land Acquisition - Dambawinna, Welimada D/S/D, Badulla District.",https://documents.gov.lk/view/egz/2026/2/2477-37_E.pdf
2477/38,2026-02-26,District Secretariat - Galle - Pilgrimages Ordinance The Annual Sri Maha Dodhiraja Procession of Sri Shasanalankararama Ancient Temple of Galle,https://documents.gov.lk/view/egz/2026/2/2477-38_E.pdf
2477/39,2026-02-26,Presidential Secretariat - Appointed Mr. Susiripala Manawadu as the Governor of the Southern Province w.e.f. 24.02.2026.,https://documents.gov.lk/view/egz/2026/2/2477-39_E.pdf
2477/32,2026-02-25,Department of Local Government - Eastern Province - Summon the Re-Calling Meeting to Fill the Vacancy Arose to the Post of Chairman of Chairman of The Ninthavuv P.S,https://documents.gov.lk/view/egz/2026/2/2477-32_E.pdf
2477/33,2026-02-25,Elections Commission - Filling of a Vacancy in the Office of Member of the Bingiriya P.S,https://documents.gov.lk/view/egz/2026/2/2477-33_E.pdf
2477/34,2026-02-25,Department of Trade and Investment Policy - Revenue Protection Order No. 02/2025,https://documents.gov.lk/view/egz/2026/2/2477-34_E.pdf
2477/35,2026-02-25,Presidential Secretariat - 75th Anniversary of the Sri Lanka Air Force.,https://documents.gov.lk/view/egz/2026/2/2477-35_E.pdf
2477/21,2026-02-24,"Department of Fiscal Policy - The Inland Revenue Act, No 24 of 2017 - Sukhitha Welfare Society",https://documents.gov.lk/view/egz/2026/2/2477-21_E.pdf
2477/22,2026-02-24,Department of Fiscal Policy - Stamp Duty ( Special Provisions ) Act No 12 of 2006,https://documents.gov.lk/view/egz/2026/2/2477-22_E.pdf
2477/23,2026-02-24,Department of  Census and Statistics - National Consumer Price Index - January 2026,https://documents.gov.lk/view/egz/2026/2/2477-23_E.pdf
2477/24,2026-02-24,"Land Title Settlement Dept - Lolugaswewa, Medawachchiya D/S/D, Anuradhapura District ( 26/1200016)",https://documents.gov.lk/view/egz/2026/2/2477-24_E.pdf
2477/25,2026-02-24,"Land Title settlement Dept - Madagalla, Polpithigama D/S/D, Kurunegala District (26/1200014)",https://documents.gov.lk/view/egz/2026/2/2477-25_E.pdf
2477/26,2026-02-24,"Land Title Settlement Dept- Rathmale, Horowpothana D/S/D, Anuradhapura District ( 26/1200009)",https://documents.gov.lk/view/egz/2026/2/2477-26_E.pdf
2477/27,2026-02-24,"Land Title Settlement Dept - Karadipuwal, Wanathawilluwa D/S/D, Puttalam District ( 26/120008)",https://documents.gov.lk/view/egz/2026/2/2477-27_E.pdf
2477/28,2026-02-24,"Land Title Settlement Dept - Jeewana, Galigamuwa, D/S/D, Kegalle District ( 25/0541)",https://documents.gov.lk/view/egz/2026/2/2477-28_E.pdf
2477/29,2026-02-24,"Land Title Settlement Dept - Suwarapola, Kesbewa D/S/D, Colombo District ( 25/0505)",https://documents.gov.lk/view/egz/2026/2/2477-29_E.pdf
2477/30,2026-02-24,Elections Commission - Filling of a vacancy in the Office of Member of the Colombo Municipal Council.,https://documents.gov.lk/view/egz/2026/2/2477-30_E.pdf
2477/31,2026-02-24,Election Commission - Filling the Vacancy in the Office of Member of the Baddegama Pradeshiya Sabha,https://documents.gov.lk/view/egz/2026/2/2477-31_E.pdf
2477/01,2026-02-23,Sri Lanka Customs - Rates of Exchange with effect from 23.02.2026 01.03.2026,https://documents.gov.lk/view/egz/2026/2/2477-01_E.pdf
2477/03,2026-02-23,Ruwanwella Pradeshiya Sabha - Roads and Paths 2 nd Gazette,https://documents.gov.lk/view/egz/2026/2/2477-03_E.pdf
2477/04,2026-02-23,"Land Acquisition - Yapamma, Udagama ,Lunugala D/S/D, Badulla DIstrict",https://documents.gov.lk/view/egz/2026/2/2477-04_E.pdf
2477/05,2026-02-23,"Land Acquisition - Wedaralalagegedarawatta, Kundasale D/S/D, Kandy District",https://documents.gov.lk/view/egz/2026/2/2477-05_E.pdf
2477/06,2026-02-23,"Land Acquisition - Angoda, Mulleriyawa, Kolonnawa D/S/D, Colombo District",https://documents.gov.lk/view/egz/2026/2/2477-06_E.pdf
2477/07,2026-02-23,"Land Title Settlement Dept - Magalle, Galle Four Gravets D/S/D, Galle District (25/5514244)",https://documents.gov.lk/view/egz/2026/2/2477-07_E.pdf
2477/08,2026-02-23,"Land Title Settlement Dept - Muththettupala, Weligepola D/S/D, Rathnapura District ( 26/5514013)",https://documents.gov.lk/view/egz/2026/2/2477-08_E.pdf
2477/09,2026-02-23,"Land Title Settlement Dept - Mampe, Kesbewa D/S/D, Colombo District ( 26/5514019)",https://documents.gov.lk/view/egz/2026/2/2477-09_E.pdf
2477/10,2026-02-23,"Land Title Settlement Dept - Part of Bothgalapitiya, Udapalatha D/S/D, Kandy District",https://documents.gov.lk/view/egz/2026/2/2477-10_E.pdf
2477/11,2026-02-23,"Land Title Settlement Dept - Pallemulla, Harispattuwa D/S/D, Kandy District ( 26/12000018)",https://documents.gov.lk/view/egz/2026/2/2477-11_E.pdf
2477/12,2026-02-23,"Land Title Settlement Dept - Deegithawa, Wariyapola D/S/D, kurunegala District ( 26/1200012)",https://documents.gov.lk/view/egz/2026/2/2477-12_E.pdf
